id,groupe_code,classe,option,LM1,LM2,LM3
485,6 - CPC2,6PAY,,,,
486,6 - CPC2,6PAW,,,,
487,5 - M,5PAU,,,,
488,5 - M,5PAW,,,,
489,5 - M,5PAY,,,,
490,5 - M,5PAZ,,,,
491,5 - M,5PAT,,,,
492,5 - RC,5PAU,,,,
493,5 - RC,5PAZ,,,,
494,5 - RC,5PAT,,,,
495,5 - RC,5PAY,,,,
496,5 - RP,5PAZ,,,,
497,5 - RP,5PAT,,,,
498,5 - RI,5PAU,,,,
499,5 - RI,5PAY,,,,
500,5 - RI,5PAZ,,,,
501,5 - RI,5PAT,,,,
502,5 - CPC5,5PAU,,,,
503,5 - CPC4,5PAT,,,,
504,5 - CPC7,5PAZ,,,,
505,2+3 - RO,2PAE,,,,
506,2+3 - RO,3PAS,,,,
507,2+3 - RO,3PAX,,,,
508,4 - EPF4,4PAX,,,,
509,4 - EPF4,4PAY,,,,
510,4 - EPG4,4PAX,,,,
511,4 - EPG4,4PAY,,,,
512,3 - M,3PAS,,,,
513,3 - M,3PAT,,,,
514,3 - M,3PAV,,,,
515,3 - M,3PAW,,,,
516,3 - M,3PAZ,,,,
517,3 - M,3PAX,,,,
518,3 - RC,3PAS,,,,
519,3 - RC,3PAV,,,,
520,3 - RC,3PAW,,,,
521,3 - RC,3PAX,,,,
522,3 - RC,3PAT,,,,
523,3 - RI,3PAS,,,,
524,3 - RI,3PAT,,,,
525,3 - RI,3PAV,,,,
526,3 - RI,3PAW,,,,
527,3 - RI,3PAZ,,,,
528,3 - RI,3PAX,,,,
529,3 - CPC1,3PAS,,,,
530,3 - CPC1,3PAW,,,,
531,3 - CPC1,3PAX,,,,
532,3 - CPC1,3PAZ,,,,
533,3 - CPC2,3PAT,,,,
534,3 - CPC2,3PAV,,,,
535,3 - CPC2,3PAS,,,,
536,1 - M,1PAA,,,,
537,1 - M,1PAC,,,,
538,1 - M,1PAD,,,,
539,1 - M,1PAE,,,,
540,1 - M,1PAF,,,,
541,1 - RI,1PAA,,,,
542,1 - RI,1PAC,,,,
543,1 - RI,1PAD,,,,
544,1 - RI,1PAE,,,,
545,1 - RI,1PAF,,,,
546,1 - RC,1PAA,,,,
547,1 - RC,1PAC,,,,
